m,n,time to complete ms
6,6,5806.955599999999
6,6,1697.2359
6,6,367.8759
6,6,8008.6534
6,6,3580.0192
6,6,5886.2396
6,6,197.2011
6,6,2937.6874
6,6,455.9346
6,6,51.6061
6,6,8753.4931
6,6,9.840200000000001
6,6,3723.7972
6,6,232.463
6,6,2322.2957
6,6,8010.3532000000005
6,6,4237.3922999999995
6,6,1911.3072
6,6,1855.3081000000002
6,6,7181.5426
6,6,2212.0405
6,6,1799.6114
6,6,10527.9596
6,6,4891.3496
6,6,5341.2182999999995
6,6,3704.6479
6,6,3183.3608
6,6,2192.0933
6,6,3360.3076
6,6,338.8034
6,6,1176.7011
6,6,10746.3675
6,6,1817.5293000000001
6,6,3886.3901
6,6,4933.6411
6,6,3635.7397
6,6,149.954
6,6,2006.2037
6,6,3165.692
6,6,3308.9473
6,6,867.8525
6,6,9919.3841
6,8,4894.2872
6,8,44650.1979
6,8,6870.4529
6,8,31140.8436
6,8,44227.2534
6,8,23300.3399
6,8,1868.0181
6,8,41520.2844
6,6,787.1623000000001
6,6,77.2646
6,6,908.5833
6,6,1612.4581
6,6,3634.367
6,6,1008.8854
6,6,2350.3448
6,6,407.9884
6,6,417.00829999999996
6,6,3382.1313
6,6,921.0143
6,6,2380.5637
6,6,180.362
6,6,2335.6599
6,6,8.556799999999999
6,6,98.7938
6,6,564.1463
6,6,586.5951
6,6,2642.7012
6,6,2087.758
6,6,439.73409999999996
6,6,1671.9111
6,6,926.3783000000001
6,6,1594.9246
6,6,3118.3797000000004
6,6,1658.0328
6,6,1763.8037
6,6,1325.9822
6,6,539.2158000000001
6,6,8.6184
6,6,559.3775
6,6,1546.6277
6,6,828.5918
6,6,2396.4838
6,6,2463.6805
6,6,912.579
6,6,1589.3155
6,6,712.7676
6,6,856.9609
6,6,1282.4659
6,6,1202.7391
6,6,1026.1062
6,6,1232.3038000000001
6,6,1215.5358999999999
6,6,4.8434
6,6,127.5329
6,6,156.16029999999998
6,6,334.0529
6,6,2132.9981000000002
6,6,595.8574
6,6,586.7069
6,6,342.4689
6,6,442.3021
6,6,202.8604
6,6,1774.4153000000001
6,6,1285.0991000000001
6,6,588.88
6,6,1315.3163
6,6,2620.1193
6,6,340.4296
6,6,2030.1957
6,6,23.156
6,6,974.4440999999999
6,6,1506.8815
6,6,807.278
6,6,1064.7303
6,6,192.0519
6,6,370.13259999999997
6,6,1402.092
6,6,716.9072
6,6,3524.5476
6,6,864.853
6,6,4841.6636
6,6,137.21439999999998
6,6,1362.3843
6,6,902.8018000000001
6,6,5866.974099999999
6,6,380.6463
6,6,676.5721
6,6,243.90879999999999
6,6,631.6220999999999
6,6,90.6395
6,6,573.6451999999999
6,6,2624.2643
6,6,521.5139
6,6,1406.5941
6,6,248.5277
6,6,966.6572
6,6,622.1444
6,6,103.1839
6,6,981.915
6,6,3749.2306
6,6,351.6164
6,6,388.60470000000004
6,6,749.6385
6,6,1163.7275
6,6,1643.359
6,6,1279.3417
6,6,6582.944
6,6,43.864599999999996
6,6,1013.0186
6,6,659.7921
6,6,243.01229999999998
6,6,725.0790999999999
6,6,700.1678
6,6,379.1807
6,6,1054.2104
6,6,341.339
6,6,976.4821
6,6,602.7804
6,6,3311.9139
6,6,1498.1556
6,6,4453.923400000001
6,6,4195.0068
6,6,812.1541
6,6,131.6117
6,6,2350.0087000000003
6,6,4.7708
6,6,213.8191
6,6,3001.8955
6,6,841.5862
6,6,161.75670000000002
6,6,694.1342
6,6,1308.6859
6,6,2402.8568999999998
6,6,1906.4555
6,6,382.0386
6,6,4344.4158
6,6,1806.0606
6,6,4254.6736
6,6,2527.0869
6,6,296.28740000000005
6,6,1419.4083999999998
6,6,328.2094
6,6,1360.6499
6,6,2268.6335
6,6,275.8682
6,6,5365.9687
6,6,1483.7415
6,6,628.5221
6,6,1518.8428999999999
6,6,3609.2352
6,6,73.8912
6,6,108.4933
6,6,389.54690000000005
6,6,3882.191
6,6,339.7066
6,6,2599.3143
6,6,1618.3657
